name,nominal_pct,nonmonetary_pct,cash_bail_pct,ror_pct,unsecured_pct,total_cases,cash_bail_cases,ror_cases,avg_bail_amount,non_posting_rate,cash_bail_pct_black,cash_bail_cases_black,cash_bail_pct_white,cash_bail_cases_white,bail_amount_black,bail_amount_white,is_outlier,denied_pct
Pike,0,0.2476754015,0.2857142857,0.336432798,0.1191885038,1183,338,398,10000,0.2857142857,0.3732394366,53,0.2663316583,265,10000,15000,,0.01098901099
Potter,0,0.02869757174,0.2406181015,0.06843267108,0.6445916115,453,109,31,25000,0.2406181015,0.07692307692,1,0.2494061758,105,50000,20000,,0.01766004415
Schuylkill,0.0006176652254,0,0.3539221742,0.05806053119,0.5858554663,3238,1146,188,20000,0.3539221742,0.453164557,179,0.339913855,947,25000,15000,,0.001544163064
Snyder,0,0.07940780619,0.2772543742,0.1063257066,0.530282638,743,206,79,25000,0.2772543742,0.2783505155,27,0.2742946708,175,25000,25000,,0.006729475101
Somerset,0.001273074475,0.3723742839,0.3049013367,0.02164226607,0.2915340547,1571,479,34,20000,0.3049013367,0.4090909091,36,0.2980177717,436,25000,20000,,0.008274984087
Sullivan,0,0,0.3734177215,0.006329113924,0.5886075949,158,59,1,15000,0.3734177215,0.5,3,0.3581081081,53,15000,15000,,0.03164556962
Susquehanna,0,0.008905852417,0.272264631,0.3804071247,0.3307888041,786,214,299,5000,0.272264631,0.2777777778,15,0.2737430168,196,25000,5000,,0.007633587786
Tioga,0,0.001349527665,0.350877193,0.004048582996,0.5951417004,741,260,3,20000,0.350877193,0.4047619048,17,0.3477633478,241,30000,20000,,0.04858299595
Union,0,0.1630769231,0.26,0.4046153846,0.1676923077,650,169,263,20000,0.26,0.4473684211,34,0.2268602541,125,42500,15000,,0.004615384615
Venango,0,0,0.3182897862,0.003167062549,0.567695962,1263,402,4,10000,0.3182897862,0.402173913,37,0.3121238177,363,10000,10000,,0.1108471892
Warren,0,0.0501618123,0.4142394822,0.3624595469,0.1666666667,618,256,224,25000,0.4142394822,0.68,17,0.4034782609,232,30000,25000,,0.006472491909
Washington,0,0.004624277457,0.3683236994,0.1438150289,0.4499421965,4325,1593,622,10000,0.3683236994,0.5080213904,475,0.3323152108,1088,25000,10000,,0.03329479769
Wayne,0,0.002680965147,0.3713136729,0.2412868633,0.3793565684,746,277,180,25000,0.3713136729,0.5454545455,24,0.3573529412,243,25000,20000,,0.005361930295
Westmoreland,0.001872220922,0.02749824479,0.2594196115,0.3366487245,0.3344254622,8546,2217,2877,10000,0.2594196115,0.3688430699,644,0.2321347292,1530,25000,10000,,0.04013573602
Wyoming,0,0,0.2933104631,0.001715265866,0.7032590051,583,171,1,15000,0.2933104631,0.4642857143,13,0.2883211679,158,25000,15000,,0.001715265866
York,0.004956317204,0.06577620968,0.3200604839,0.3401377688,0.2538642473,11904,3810,4049,10000,0.3200604839,0.3992805755,1443,0.2855044074,2332,15000,10000,,0.01520497312
